generation,best_fitness,avg_fitness
0,0.17066666666666666,0.09434866666666666
1,0.19403333333333334,0.11585100000000001
2,0.22096666666666667,0.14064466666666667
3,0.2412,0.16022433333333333
4,0.2726,0.178805
5,0.2941,0.19153933333333334
6,0.2925,0.20322266666666666
7,0.3184,0.22289466666666666
8,0.33923333333333333,0.23951366666666665
9,0.3384333333333333,0.24407833333333337
10,0.3447,0.24235433333333328
11,0.3454333333333333,0.24986100000000003
12,0.3397,0.2557276666666667
13,0.3872,0.2644823333333334
14,0.3878666666666667,0.2681663333333333
15,0.39103333333333334,0.27258266666666664
16,0.3898333333333333,0.27081666666666665
17,0.3878333333333333,0.27121300000000004
18,0.3916,0.277044
19,0.394,0.27351566666666666
20,0.38893333333333335,0.269274
21,0.38906666666666667,0.27604933333333337
22,0.3884,0.27477833333333335
23,0.3884,0.284714
24,0.4333,0.28906933333333334
25,0.43416666666666665,0.3023676666666667
26,0.4321,0.30361600000000005
27,0.4313666666666667,0.312011
28,0.43546666666666667,0.305456
29,0.4333666666666667,0.30756633333333333
30,0.4312666666666667,0.3122793333333333
31,0.4346333333333333,0.310662
32,0.4313666666666667,0.3099006666666667
33,0.43316666666666664,0.3037253333333333
34,0.43046666666666666,0.2987573333333333
35,0.4341333333333333,0.304879
36,0.43456666666666666,0.300188
37,0.4356,0.3067036666666667
38,0.4358,0.30947099999999994
39,0.4307666666666667,0.3066226666666667
40,0.4337666666666667,0.311027
41,0.4300333333333333,0.3079503333333333
42,0.43116666666666664,0.311922
43,0.4326,0.3088976666666666
44,0.4288666666666667,0.3017973333333333
45,0.4335333333333333,0.30788933333333335
46,0.43466666666666665,0.31655900000000003
47,0.43293333333333334,0.3167743333333333
48,0.4345333333333333,0.3035576666666666
49,0.43146666666666667,0.31003766666666666
